Chave;ano;Sigla;dsc_tribunal;secao;trib;cn1;CnCCrim1;CnCNCrim1;CnExtFisc1;CnExtNFisc1;ExeJudCrimPL1;ExeJudCrimNPL1;ExeJudNCrim1;cp1;CpCCrim1;CpCNCrim1;CpExtFisc1;CpExtNFisc1;ExeJudPCrimPL1;ExeJudPCrimNPL1;ExeJudPNcrim1;cntr;CnCrimTR;CnNCrimTR;cptr;CpCrimTR;CpNCrimTR;cnje;CnCCrimJE;CnCNCrimJE;ExeJudJE;cpje;CpCCrimJE;CpCNCrimJE;ExeJudPJE;Tram;Dpj;DPeI;dpji;MagPAe1;MagPAeJE;MagPAeTR;MagPAcJE1;MagPAcTR1;MagPAcTRJE;MagAJ1;MagAJJE;MagAJTR;Mag;TPEfet;TPCed;TPReq;TPSV;Serv;tbaix1;TBaixCCrim1;TBaixCNCrim1;TBaixExtFisc1;TBaixExtNFisc1;TBaixJudCrimNPL1;TBaixJudCrimPL1;TBaixJudNCrim1;tbaixtr;TBaixCrimTR;TBaixNCrimTR;tbaixje;TBaixCCrimJE;TBaixCNCrimJE;TbaixJudJE;Tbaix
AP2013;2013;TRF1;TRF 1ª Região;AP;0;3293;698;1004;1375;107;0;0;109;16637;1443;2127;11465;543;54;32;973;0;0;0;0;0;0;7532;8;7524;0;5187;35;5152;0;32649;36710866,09;3456639,92;33254226,17;5;1;1;0;0;0;0;0;0;7;199;2;16;1;214;2733;959;948;694;21;7;9;95;0;0;0;10697;20;10677;0;13430
PA2013;2013;TRF1;TRF 1ª Região;PA;0;17640;3115;5650;8198;556;5;0;116;97268;8310;14713;66482;2304;287;249;4923;7130;2;7128;20139;2;20137;55119;27;55092;0;78543;66;78477;0;275839;133784856,6;12970281,15;120814575,4;21;5;3;1;1;1;0;1;0;31;478;8;16;0;486;18798;3363;7629;6299;276;74;64;1093;5789;5;5784;75163;33;75130;0;99750
RO2013;2013;TRF1;TRF 1ª Região;RO;0;9795;2596;2774;3886;267;231;0;41;32457;3686;5724;20123;842;549;54;1479;3223;3;3220;7212;5;7207;9146;69;9077;0;22285;196;22089;0;84118;53715005,99;3968985,21;49746020,78;9;0;0;0;2;0;0;0;0;11;212;10;25;0;227;9928;3276;3428;2515;106;11;320;272;2033;5;2028;13847;122;13725;0;25808
RR2013;2013;TRF1;TRF 1ª Região;RR;0;3589;1240;1370;913;60;1;0;5;11576;1461;1430;7609;515;57;31;473;1289;1;1288;1935;1;1934;3256;15;3241;0;4465;99;4366;0;26110;24767111,86;3520297,99;21246813,87;0;2;0;2;1;0;0;0;1;4;90;5;17;0;102;3461;1563;1031;589;63;15;25;175;1308;0;1308;5686;69;5617;0;10455
TO2013;2013;TRF1;TRF 1ª Região;TO;0;5190;1494;1512;1681;474;23;0;6;20091;2062;2534;13999;724;218;1;553;1743;1;1742;4508;2;4506;14876;61;14815;0;14435;25;14410;0;60843;42136060,28;2092662,23;40043398,05;5;1;1;1;1;1;0;0;0;10;160;0;10;0;170;6108;1931;1821;1983;108;1;80;184;2373;3;2370;12228;25;12203;0;20709
BA2013;2013;TRF1;TRF 1ª Região;BA;0;41336;4475;15071;20454;514;16;19;787;187588;7268;28198;134993;6640;245;174;10070;22346;5;22341;37285;8;37277;75970;40;75930;0;81368;90;81278;0;445893;280809873,8;23075113,88;257734759,9;36;4;9;1;11;1;0;0;0;62;1003;28;81;2;1058;56112;5394;19900;26222;753;47;107;3689;16602;6;16596;99951;52;99899;0;172665
MA2013;2013;TRF1;TRF 1ª Região;MA;0;12852;2717;6468;3059;447;8;0;153;64498;4448;11841;40184;3196;144;169;4516;14172;2;14170;16753;5;16748;72857;39;72818;0;51329;114;51215;0;232461;101824737,5;9450383,56;92374353,89;8;0;1;8;9;0;1;0;0;25;361;17;41;1;386;13849;2567;6075;4022;268;22;18;877;3755;2;3753;68304;23;68281;0;85908
PI2013;2013;TRF1;TRF 1ª Região;PI;0;9131;2177;3422;3393;134;0;1;4;47501;3335;10466;29004;1489;82;72;3053;4417;1;4416;8053;1;8052;33710;6;33704;0;87544;22;87522;0;190356;79083803,73;6614287,97;72469515,76;9;0;3;2;4;0;0;0;0;18;307;4;18;0;321;10025;1538;4794;2783;101;6;13;790;2338;0;2338;45503;14;45489;0;57866
total2013;2013;TRF1;TRF 1ª Região;total;1;261347;42936;107845;99988;7119;379;29;3051;1297993;66083;234929;855138;45820;3203;1879;90941;139906;47;139859;226201;43;226158;476367;736;475631;0;622681;1439;621242;0;3024495;2218721985;243076457,9;1975645528;245;25;39;43;53;9;8;5;4;397;7566;494;724;52;7848;336091;51022;156050;93609;6022;602;1628;27158;82284;58;82226;621331;947;620384;0;1039706
RJ2013;2013;TRF2;TRF 2ª Região;RJ;0;87239;9013;31769;35463;1978;0;794;8222;632364;29133;100813;453121;13117;0;2758;33422;46383;18;46365;66245;10;66235;136460;222;106046;30192;115457;963;97391;17103;1084148;814573696,7;115896235,9;698677460,9;119;47;12;26;3;1;7;2;0;199;2920;78;120;8;2970;149625;12132;45275;74305;3760;784;0;13369;34548;19;34529;151482;527;119942;31013;335655
ES2013;2013;TRF2;TRF 2ª Região;ES;0;21158;2012;5830;9441;2154;0;182;1539;116465;5191;12611;89412;3219;0;390;5642;7448;10;7438;12026;10;12016;20462;106;14692;5664;33016;178;29383;3455;210575;143768335,7;11240255,84;132528079,8;13;8;6;11;0;0;2;0;0;36;533;21;26;1;539;25557;2130;6088;13128;1214;125;0;2872;2870;13;2857;27768;142;22121;5505;56195
total2013;2013;TRF2;TRF 2ª Região;total;1;108397;11025;37599;44904;4132;0;976;9761;748829;34324;113424;542533;16336;0;3148;39064;53831;28;53803;78271;20;78251;156922;328;120738;35856;148473;1141;126774;20558;1294723;1276015252;166189724;1109825528;132;55;18;37;3;1;9;2;0;235;4465;116;242;30;4621;175182;14262;51363;87433;4974;909;0;16241;37418;32;37386;179250;669;142063;36518;391850
MS2013;2013;TRF3;TRF 3ª Região;MS;0;19124;1276;6692;5201;1236;253;129;4337;73909;5172;13996;39145;3309;181;272;11834;3076;4;3072;10635,71205;0;10635,71205;7043;22;7021;0;13348;80;13268;0;127135,7121;90559653,33;5533272,88;85026380,45;20;4;3;0;0;0;0;0;0;27;317;8;5;1;315;47066;3039;7028;23621;911;73;46;12348;6803;2;6801;7334;13;7321;0;61203
